epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,24828.6,0.62699,1.64316,1.18992,0.56682,0.56986,0.53585,0.35681,1.07036,1.49546,0.99229,0.001486,0.001486,0.001486
88,25106.4,0.61704,1.60946,1.19097,0.56426,0.56438,0.53287,0.35512,1.07222,1.49479,0.99435,0.001387,0.001387,0.001387
89,25405,0.63479,1.56623,1.19214,0.57315,0.55548,0.53334,0.35643,1.07297,1.49054,0.99623,0.001288,0.001288,0.001288
90,25684.1,0.60835,1.56183,1.17902,0.58389,0.55616,0.53737,0.35773,1.07094,1.48713,0.99386,0.001189,0.001189,0.001189
91,25980.6,0.83798,1.61334,1.17339,0.568,0.57277,0.53862,0.36022,1.07005,1.4838,0.99478,0.00109,0.00109,0.00109
92,26255.4,0.81743,1.56387,1.15143,0.57081,0.57808,0.54103,0.36139,1.06783,1.48234,0.99264,0.000991,0.000991,0.000991
93,26550.6,0.82242,1.52444,1.14894,0.56356,0.58356,0.54261,0.36259,1.06391,1.48278,0.98969,0.000892,0.000892,0.000892
94,26842.2,0.80146,1.49867,1.14214,0.56917,0.58356,0.54383,0.36611,1.06131,1.47979,0.98741,0.000793,0.000793,0.000793
95,27122.1,0.80749,1.42095,1.14889,0.56651,0.58356,0.5459,0.36871,1.05828,1.47785,0.984,0.000694,0.000694,0.000694
96,27417,0.78154,1.41895,1.12694,0.56664,0.58391,0.54664,0.37078,1.05694,1.47426,0.98263,0.000595,0.000595,0.000595
97,27692.3,0.8073,1.46139,1.13874,0.54737,0.60274,0.54821,0.37273,1.0552,1.47208,0.98112,0.000496,0.000496,0.000496
98,27987.8,0.81492,1.4276,1.14603,0.55432,0.60274,0.55049,0.37371,1.05427,1.46749,0.98092,0.000397,0.000397,0.000397
99,28262.8,0.77948,1.40223,1.11516,0.55792,0.60274,0.55232,0.37376,1.05323,1.46918,0.98061,0.000298,0.000298,0.000298
100,28557.6,0.78118,1.38802,1.13079,0.56485,0.60548,0.55409,0.37508,1.05236,1.46909,0.98026,0.000199,0.000199,0.000199
